Subject,Block,WaitTime,Accuracy
16019,2,medium,0.8571428571428571
16019,2,long,1
16019,3,none,1
16019,3,short,1
16019,3,medium,0.7142857142857143
16019,3,long,0.8571428571428571
16025,1,none,1
16025,1,short,0.8571428571428571
16025,1,medium,1
16025,1,long,0.8571428571428571
16025,2,none,1
16025,2,short,1
16025,2,medium,1
16025,2,long,0.8571428571428571
16025,3,none,1
16025,3,short,1
16025,3,medium,0.7142857142857143
16025,3,long,1
16027,1,none,1
16027,1,short,1
16027,1,medium,1
16027,1,long,1
16027,2,none,1
16027,2,short,1
16027,2,medium,1
16027,2,long,1
16027,3,none,1
16027,3,short,1
16027,3,medium,1
16027,3,long,0.8571428571428571
16030,1,none,1
16030,1,short,0.8571428571428571
16030,1,medium,1
16030,1,long,0.8571428571428571
16030,2,none,1
16030,2,short,0.8571428571428571
16030,2,medium,1
16030,2,long,0.7142857142857143
16030,3,none,1
16030,3,short,1
16030,3,medium,0.7142857142857143
16030,3,long,0.8571428571428571
16032,1,none,0
16032,1,short,1
16032,1,medium,1
16032,1,long,0.8571428571428571
16032,2,none,1
16032,2,short,0.8571428571428571
16032,2,medium,1
16032,2,long,0.8571428571428571
16032,3,none,1
16032,3,short,0.8571428571428571
16032,3,medium,0.7142857142857143
16032,3,long,1
16033,1,none,1
16033,1,short,0.8571428571428571
16033,1,medium,0.8571428571428571
16033,1,long,0.8571428571428571
16033,2,none,1
16033,2,short,0.8571428571428571
16033,2,medium,1
16033,2,long,0.8571428571428571
16033,3,none,1
16033,3,short,1
16033,3,medium,0.7142857142857143
16033,3,long,1
16036,1,none,1
16036,1,short,1
16036,1,medium,1
16036,1,long,1
16036,2,none,1
16036,2,short,1
16036,2,medium,0.8571428571428571
16036,2,long,1
16036,3,none,1
16036,3,short,1
16036,3,medium,1
16036,3,long,0.8571428571428571
16037,1,none,1
16037,1,short,1
16037,1,medium,0.8571428571428571
16037,1,long,0.8571428571428571
16037,2,none,1
16037,2,short,1
16037,2,medium,0.8571428571428571
16037,2,long,0.8571428571428571
16037,3,none,1
16037,3,short,1
16037,3,medium,0.8571428571428571
16037,3,long,1
16039,1,none,1
16039,1,short,0.8571428571428571
16039,1,medium,1
16039,1,long,1
16039,2,none,1
16039,2,short,0.8571428571428571
16039,2,medium,0.7142857142857143
16039,2,long,1
16039,3,none,1
16039,3,short,0.8571428571428571
16039,3,medium,1
16039,3,long,0.8571428571428571
16040,1,none,1
16040,1,short,1
16040,1,medium,1
16040,1,long,1
16040,2,none,1
16040,2,short,1
16040,2,medium,1
16040,2,long,1
16040,3,none,1
16040,3,short,1
16040,3,medium,1
16040,3,long,1
16041,1,none,1
16041,1,short,1
16041,1,medium,0.8571428571428571
16041,1,long,1
16041,2,none,1
16041,2,short,0.8571428571428571
16041,2,medium,1
16041,2,long,0.8571428571428571
16041,3,none,1
16041,3,short,1
16041,3,medium,0.5714285714285714
16041,3,long,1
16042,1,none,1
16042,1,short,1
16042,1,medium,1
16042,1,long,1
16042,2,none,1
16042,2,short,1
16042,2,medium,1
16042,2,long,1
16042,3,none,1
16042,3,short,0.7142857142857143
16042,3,medium,0.7142857142857143
16042,3,long,0.8571428571428571
16043,1,none,1
16043,1,short,1
16043,1,medium,1
16043,1,long,0.8571428571428571
16043,2,none,1
16043,2,short,0.8571428571428571
16043,2,medium,0.7142857142857143
16043,2,long,0.5714285714285714
16043,3,none,1
16043,3,short,0.8571428571428571
16043,3,medium,0.42857142857142855
16043,3,long,0.7142857142857143
16044,1,none,1
16044,1,short,1
16044,1,medium,0.7142857142857143
16044,1,long,0.7142857142857143
16044,2,none,1
16044,2,short,1
16044,2,medium,0.8571428571428571
16044,2,long,1
16044,3,none,1
16044,3,short,1
16044,3,medium,1
16044,3,long,0.8571428571428571
16045,1,none,1
16045,1,short,0.8571428571428571
16045,1,medium,1
16045,1,long,0.8571428571428571
16045,2,none,1
16045,2,short,0.7142857142857143
16045,2,medium,0.7142857142857143
16045,2,long,0.8571428571428571
16045,3,none,1
16045,3,short,1
16045,3,medium,0.5714285714285714
16045,3,long,0.7142857142857143
16046,1,none,1
16046,1,short,1
16046,1,medium,0.8571428571428571
16046,1,long,0.7142857142857143
16046,2,none,1
16046,2,short,0.42857142857142855
16046,2,medium,0.5714285714285714
16046,2,long,0.5714285714285714
16046,3,none,1
16046,3,short,0.5714285714285714
16046,3,medium,0.7142857142857143
16046,3,long,0.42857142857142855
16048,1,none,1
16048,1,short,1
16048,1,medium,1
16048,1,long,0.7142857142857143
16048,2,none,1
16048,2,short,0.8571428571428571
16048,2,medium,1
16048,2,long,1
16048,3,none,1
16048,3,short,0.7142857142857143
16048,3,medium,0.7142857142857143
16048,3,long,0.8571428571428571
16050,1,none,1
16050,1,short,1
16050,1,medium,1
16050,1,long,1
16050,2,none,1
16050,2,short,1
16050,2,medium,0.8571428571428571
16050,2,long,1
16050,3,none,1
16050,3,short,1
16050,3,medium,1
16050,3,long,1
16052,1,none,1
16052,1,short,1
16052,1,medium,0.8571428571428571
16052,1,long,1
16052,2,none,1
16052,2,short,1
16052,2,medium,1
16052,2,long,1
16052,3,none,1
16052,3,short,1
16052,3,medium,0.7142857142857143
16052,3,long,0.8571428571428571
16053,1,none,1
16053,1,short,1
16053,1,medium,0.8571428571428571
16053,1,long,1
16053,2,none,1
16053,2,short,0.8571428571428571
16053,2,medium,1
16053,2,long,1
16053,3,none,1
16053,3,short,1
16053,3,medium,0.8571428571428571
16053,3,long,1
16054,1,none,1
16054,1,short,1
16054,1,medium,1
16054,1,long,0.7142857142857143
16054,2,none,1
16054,2,short,1
16054,2,medium,1
16054,2,long,0.5714285714285714
16054,3,none,1
16054,3,short,1
16054,3,medium,1
16054,3,long,1
16055,1,none,1
16055,1,short,1
16055,1,medium,0.7142857142857143
16055,1,long,0.7142857142857143
16055,2,none,1
16055,2,short,1
16055,2,medium,1
16055,2,long,0.5714285714285714
16055,3,none,1
16055,3,short,0.8571428571428571
16055,3,medium,0.5714285714285714
16055,3,long,0.7142857142857143
16056,1,none,1
16056,1,short,1
16056,1,medium,1
16056,1,long,1
16056,2,none,1
16056,2,short,1
16056,2,medium,0.7142857142857143
16056,2,long,1
16056,3,none,1
16056,3,short,1
16056,3,medium,1
16056,3,long,1
16057,1,none,1
16057,1,short,0.7142857142857143
16057,1,medium,0.7142857142857143
16057,1,long,0.7142857142857143
16057,2,none,0
16057,2,short,0.8571428571428571
16057,2,medium,0.8571428571428571
16057,2,long,1
16057,3,none,1
16057,3,short,0.8571428571428571
16057,3,medium,0.5714285714285714
16057,3,long,0.2857142857142857
16058,1,none,0
16058,1,short,0.8571428571428571
16058,1,medium,0.8571428571428571
16058,1,long,0.7142857142857143
16058,2,none,1
16058,2,short,0.8571428571428571
16058,2,medium,1
16058,2,long,0.8571428571428571
16058,3,none,1
16058,3,short,0.8571428571428571
